time,open,high,low,close,Volume,Futures Open Interest,Crypto Open Interest (열기),Crypto Open Interest (고가,Crypto Open Interest (저가),Crypto Open Interest (닫기),Funding Rate
1751328000,107087.3,107314.3,107036.7,107277.5,763.164,,76423.94,76423.94,76359.471,76381.719,0.001174
1751328900,107277.5,107408.2,107095.1,107111.4,1653.954,,76377.558,76624.041,76370.524,76444.891,0.001206
1751329800,107111.4,107250,106972.9,107240.2,796.732,,76434.815,76468.204,76428.916,76464.443,0.001165
1751330700,107240.2,107342.9,107233,107327.8,311.722,,76466.041,76490.189,76466.041,76482.359,0.001497
1751331600,107327.9,107450,107239.8,107432.4,833.426,,76485.858,76511.569,76446.406,76486.707,0.001698
1751332500,107432.4,107499.9,107331.3,107359.9,455.253,,76487.273,76490.02,76468.292,76486.315,0.001844
1751333400,107360,107473.1,107253.4,107278.6,363.794,,76487.089,76498.68,76480.478,76494.807,0.001595
1751334300,107278.7,107336.5,107119.2,107171.8,519.323,,76494.897,76545.546,76494.093,76545.546,0.001424
1751335200,107171.7,107266.2,107128.8,107233,405.022,,76545.903,76557.826,76510.262,76518.328,0.001365
1751336100,107232.9,107290,107175.2,107281.6,299.116,,76523.154,76525.696,76498.494,76498.494,0.001569
1751337000,107281.6,107365.8,107198.8,107220.5,521.452,,76497.859,76506.706,76424.934,76428.774,0.001561
1751337900,107220.6,107220.6,107038.4,107050.1,566.382,,76431.297,76492.242,76431.297,76491.05,0.001556
1751338800,107050,107120.6,107028,107059.1,614.072,,76490.22,76535.94,76490.22,76514.384,0.001782
1751339700,107059,107172.4,107022,107169,622.362,,76512.174,76512.174,76417.837,76431.069,0.002221
1751340600,107168.9,107169,107105.2,107105.7,274.974,,76430.898,76436.901,76407.16,76413.36,0.00241
1751341500,107105.6,107176.1,107058.2,107149.4,331.79,,76411.299,76425.455,76402.876,76423.857,0.002696
1751342400,107149.4,107164.5,107133.9,107144.5,259.642,,76428.107,76428.107,76391.527,76396.451,0.003106
